pool,dataset,model,seed,nl,wss95
RQ1,Pinos-Cisneros_2023,C3_GAT_only,43,0.3715,0.0772
RQ1,Pinos-Cisneros_2023,C3_GAT_only,44,0.3829,0.0684
RQ1,Pinos-Cisneros_2023,C3_GAT_only,45,0.3645,0.0904
RQ1,Pinos-Cisneros_2023,C3_GAT_only,46,0.374,0.0596
RQ1,Abgaz_2023,C3_GAT_only,42,0.2622,0.126
RQ1,Abgaz_2023,C3_GAT_only,43,0.2029,0.2406
RQ1,Abgaz_2023,C3_GAT_only,44,0.1963,0.1874
RQ1,Abgaz_2023,C3_GAT_only,45,0.2398,0.2174
RQ1,Abgaz_2023,C3_GAT_only,46,0.1799,0.2351
RQ1,Erer_2015,C3_GAT_only,42,0.6776,0.2655
RQ1,Erer_2015,C3_GAT_only,43,0.6427,0.2855
RQ1,Erer_2015,C3_GAT_only,44,0.6391,0.2815
RQ1,Erer_2015,C3_GAT_only,45,0.6712,0.2767
RQ1,Erer_2015,C3_GAT_only,46,0.66,0.2847
RQ1,Demirkaya_2015,C3_GAT_only,42,0.3615,0.4897
RQ1,Demirkaya_2015,C3_GAT_only,43,0.3813,0.4578
RQ1,Demirkaya_2015,C3_GAT_only,44,0.3824,0.4703
RQ1,Demirkaya_2015,C3_GAT_only,45,0.3925,0.4277
RQ1,Demirkaya_2015,C3_GAT_only,46,0.36,0.4626
RQ1,Leenaars_2020,C3_GAT_only,42,0.314,0.1719
RQ1,Leenaars_2020,C3_GAT_only,43,0.3276,0.1844
RQ1,Leenaars_2020,C3_GAT_only,44,0.3388,0.193
RQ1,Leenaars_2020,C3_GAT_only,45,0.334,0.1756
RQ1,Leenaars_2020,C3_GAT_only,46,0.3215,0.1805
RQ1,Eggmann_2023,C3_GAT_only,42,0.3579,0.142
RQ1,Eggmann_2023,C3_GAT_only,43,0.39,0.1674
RQ1,Eggmann_2023,C3_GAT_only,44,0.4252,0.107
RQ1,Eggmann_2023,C3_GAT_only,45,0.3781,0.1662
RQ1,Eggmann_2023,C3_GAT_only,46,0.3916,0.1444
RQ1,Greca_2023,C4_GNN_NLP_Fusion,42,0.2695,0.2785
RQ1,Greca_2023,C4_GNN_NLP_Fusion,43,0.3151,0.2578
RQ1,Greca_2023,C4_GNN_NLP_Fusion,44,0.284,0.2991
RQ1,Greca_2023,C4_GNN_NLP_Fusion,45,0.2647,0.2965
RQ1,Greca_2023,C4_GNN_NLP_Fusion,46,0.2592,0.3404
RQ1,Pijls_2018,C4_GNN_NLP_Fusion,42,0.2427,0.2867
RQ1,Pijls_2018,C4_GNN_NLP_Fusion,43,0.2647,0.3225
RQ1,Pijls_2018,C4_GNN_NLP_Fusion,44,0.2515,0.3116
RQ1,Pijls_2018,C4_GNN_NLP_Fusion,45,0.2384,0.1821
RQ1,Pijls_2018,C4_GNN_NLP_Fusion,46,0.2616,0.2777
RQ1,Tumkaya_2018,C4_GNN_NLP_Fusion,42,0.3841,0.1997
RQ1,Tumkaya_2018,C4_GNN_NLP_Fusion,43,0.3528,0.2135
RQ1,Tumkaya_2018,C4_GNN_NLP_Fusion,44,0.3115,0.2024
RQ1,Tumkaya_2018,C4_GNN_NLP_Fusion,45,0.3806,0.1678
RQ1,Tumkaya_2018,C4_GNN_NLP_Fusion,46,0.3451,0.269
RQ1,Rinne_2021,C4_GNN_NLP_Fusion,42,0.3084,0.2508
RQ1,Rinne_2021,C4_GNN_NLP_Fusion,43,0.318,0.239
RQ1,Rinne_2021,C4_GNN_NLP_Fusion,44,0.3439,0.214
RQ1,Rinne_2021,C4_GNN_NLP_Fusion,45,0.3107,0.239
RQ1,Rinne_2021,C4_GNN_NLP_Fusion,46,0.3145,0.2384
RQ1,Pinos-Cisneros_2023,C4_GNN_NLP_Fusion,42,0.3062,0.1298
RQ1,Pinos-Cisneros_2023,C4_GNN_NLP_Fusion,43,0.3227,0.0816
RQ1,Pinos-Cisneros_2023,C4_GNN_NLP_Fusion,44,0.3354,0.064
RQ1,Pinos-Cisneros_2023,C4_GNN_NLP_Fusion,45,0.3178,0.0904
RQ1,Pinos-Cisneros_2023,C4_GNN_NLP_Fusion,46,0.3134,0.1474
RQ1,Abgaz_2023,C4_GNN_NLP_Fusion,42,0.2215,0.3756
RQ1,Abgaz_2023,C4_GNN_NLP_Fusion,43,0.2139,0.4234
RQ1,Abgaz_2023,C4_GNN_NLP_Fusion,44,0.2119,0.4302
RQ1,Abgaz_2023,C4_GNN_NLP_Fusion,45,0.1968,0.3866
RQ1,Abgaz_2023,C4_GNN_NLP_Fusion,46,0.2052,0.4234
RQ1,Erer_2015,C4_GNN_NLP_Fusion,42,0.2113,0.5849
RQ1,Erer_2015,C4_GNN_NLP_Fusion,43,0.1929,0.6842
RQ1,Erer_2015,C4_GNN_NLP_Fusion,44,0.1877,0.7154
RQ1,Erer_2015,C4_GNN_NLP_Fusion,45,0.2225,0.6554
RQ1,Erer_2015,C4_GNN_NLP_Fusion,46,0.2233,0.665
RQ1,Demirkaya_2015,C4_GNN_NLP_Fusion,42,0.1706,0.6874
RQ1,Demirkaya_2015,C4_GNN_NLP_Fusion,43,0.184,0.6574
RQ1,Demirkaya_2015,C4_GNN_NLP_Fusion,44,0.1484,0.7252
RQ1,Demirkaya_2015,C4_GNN_NLP_Fusion,45,0.1865,0.638
RQ1,Demirkaya_2015,C4_GNN_NLP_Fusion,46,0.1827,0.6603
RQ1,Leenaars_2020,C4_GNN_NLP_Fusion,42,0.2001,0.4565
RQ1,Leenaars_2020,C4_GNN_NLP_Fusion,43,0.2114,0.4568
RQ1,Leenaars_2020,C4_GNN_NLP_Fusion,44,0.1997,0.4638
RQ1,Leenaars_2020,C4_GNN_NLP_Fusion,45,0.1894,0.4568
RQ1,Leenaars_2020,C4_GNN_NLP_Fusion,46,0.2159,0.4523
RQ1,Eggmann_2023,C4_GNN_NLP_Fusion,42,0.4685,0.0309
RQ1,Eggmann_2023,C4_GNN_NLP_Fusion,43,0.4877,0.0623
RQ1,Eggmann_2023,C4_GNN_NLP_Fusion,44,0.5393,0.0514
RQ1,Eggmann_2023,C4_GNN_NLP_Fusion,45,0.4971,0.0285
RQ1,Eggmann_2023,C4_GNN_NLP_Fusion,46,0.5123,0.0382
RQ2_A_osteoarthritis,Pijls_2018,C1_TFIDF_SVM,42,0.3317,0.1622
RQ2_A_osteoarthritis,Pijls_2018,C1_TFIDF_SVM,43,0.3317,0.1622
RQ2_A_osteoarthritis,Pijls_2018,C1_TFIDF_SVM,44,0.3317,0.1622
RQ2_A_osteoarthritis,Pijls_2018,C1_TFIDF_SVM,45,0.3317,0.1622
RQ2_A_osteoarthritis,Pijls_2018,C1_TFIDF_SVM,46,0.3317,0.1622
RQ2_A_osteoarthritis,Cozim-Melges_2024,C1_TFIDF_SVM,42,0.245,0.1241
RQ2_A_osteoarthritis,Cozim-Melges_2024,C1_TFIDF_SVM,43,0.245,0.1241
RQ2_A_osteoarthritis,Cozim-Melges_2024,C1_TFIDF_SVM,44,0.245,0.1241
RQ2_A_osteoarthritis,Cozim-Melges_2024,C1_TFIDF_SVM,45,0.245,0.1241
RQ2_A_osteoarthritis,Cozim-Melges_2024,C1_TFIDF_SVM,46,0.245,0.1241
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C1_TFIDF_SVM,42,0.4274,0.1167
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C1_TFIDF_SVM,43,0.4274,0.1167
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C1_TFIDF_SVM,44,0.4274,0.1167
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C1_TFIDF_SVM,45,0.4274,0.1167
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C1_TFIDF_SVM,46,0.4274,0.1167
RQ2_A_osteoarthritis,van_der_Valk_2021,C1_TFIDF_SVM,42,0.3625,0.1903
RQ2_A_osteoarthritis,van_der_Valk_2021,C1_TFIDF_SVM,43,0.3625,0.1903
RQ2_A_osteoarthritis,van_der_Valk_2021,C1_TFIDF_SVM,44,0.3625,0.1903
RQ2_A_osteoarthritis,van_der_Valk_2021,C1_TFIDF_SVM,45,0.3625,0.1903
RQ2_A_osteoarthritis,van_der_Valk_2021,C1_TFIDF_SVM,46,0.3625,0.1903
RQ2_A_osteoarthritis,Meijboom_2021,C1_TFIDF_SVM,42,0.2225,0.4124
RQ2_A_osteoarthritis,Meijboom_2021,C1_TFIDF_SVM,43,0.2225,0.4124
RQ2_A_osteoarthritis,Meijboom_2021,C1_TFIDF_SVM,44,0.2225,0.4124
RQ2_A_osteoarthritis,Meijboom_2021,C1_TFIDF_SVM,45,0.2225,0.4124
RQ2_A_osteoarthritis,Meijboom_2021,C1_TFIDF_SVM,46,0.2225,0.4124
RQ2_A_osteoarthritis,Tektonidou_2019,C1_TFIDF_SVM,42,0.2637,0.2829
RQ2_A_osteoarthritis,Tektonidou_2019,C1_TFIDF_SVM,43,0.2637,0.2829
RQ2_A_osteoarthritis,Tektonidou_2019,C1_TFIDF_SVM,44,0.2637,0.2829
RQ2_A_osteoarthritis,Tektonidou_2019,C1_TFIDF_SVM,45,0.2637,0.2829
RQ2_A_osteoarthritis,Tektonidou_2019,C1_TFIDF_SVM,46,0.2637,0.2829
RQ2_A_osteoarthritis,Pijls_2018,C2b_SciBERT_LR,42,0.3806,0.1133
RQ2_A_osteoarthritis,Pijls_2018,C2b_SciBERT_LR,43,0.3806,0.1133
RQ2_A_osteoarthritis,Pijls_2018,C2b_SciBERT_LR,44,0.3806,0.1133
RQ2_A_osteoarthritis,Pijls_2018,C2b_SciBERT_LR,45,0.3806,0.1133
RQ2_A_osteoarthritis,Pijls_2018,C2b_SciBERT_LR,46,0.3806,0.1133
RQ2_A_osteoarthritis,Cozim-Melges_2024,C2b_SciBERT_LR,42,0.2785,0.3027
RQ2_A_osteoarthritis,Cozim-Melges_2024,C2b_SciBERT_LR,43,0.2785,0.3027
RQ2_A_osteoarthritis,Cozim-Melges_2024,C2b_SciBERT_LR,44,0.2785,0.3027
RQ2_A_osteoarthritis,Cozim-Melges_2024,C2b_SciBERT_LR,45,0.2785,0.3027
RQ2_A_osteoarthritis,Cozim-Melges_2024,C2b_SciBERT_LR,46,0.2785,0.3027
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C2b_SciBERT_LR,42,0.5034,0.0333
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C2b_SciBERT_LR,43,0.5034,0.0333
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C2b_SciBERT_LR,44,0.5034,0.0333
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C2b_SciBERT_LR,45,0.5034,0.0333
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C2b_SciBERT_LR,46,0.5034,0.0333
RQ2_A_osteoarthritis,van_der_Valk_2021,C2b_SciBERT_LR,42,0.4126,0.2601
RQ2_A_osteoarthritis,van_der_Valk_2021,C2b_SciBERT_LR,43,0.4126,0.2601
RQ2_A_osteoarthritis,van_der_Valk_2021,C2b_SciBERT_LR,44,0.4126,0.2601
RQ2_A_osteoarthritis,van_der_Valk_2021,C2b_SciBERT_LR,45,0.4126,0.2601
RQ2_A_osteoarthritis,van_der_Valk_2021,C2b_SciBERT_LR,46,0.4126,0.2601
RQ2_A_osteoarthritis,Meijboom_2021,C2b_SciBERT_LR,42,0.1634,0.4696
RQ2_A_osteoarthritis,Meijboom_2021,C2b_SciBERT_LR,43,0.1634,0.4696
RQ2_A_osteoarthritis,Meijboom_2021,C2b_SciBERT_LR,44,0.1634,0.4696
RQ2_A_osteoarthritis,Meijboom_2021,C2b_SciBERT_LR,45,0.1634,0.4696
RQ2_A_osteoarthritis,Meijboom_2021,C2b_SciBERT_LR,46,0.1634,0.4696
RQ2_A_osteoarthritis,Tektonidou_2019,C2b_SciBERT_LR,42,0.2294,0.351
RQ2_A_osteoarthritis,Tektonidou_2019,C2b_SciBERT_LR,43,0.2294,0.351
RQ2_A_osteoarthritis,Tektonidou_2019,C2b_SciBERT_LR,44,0.2294,0.351
RQ2_A_osteoarthritis,Tektonidou_2019,C2b_SciBERT_LR,45,0.2294,0.351
RQ2_A_osteoarthritis,Tektonidou_2019,C2b_SciBERT_LR,46,0.2294,0.351
RQ2_A_osteoarthritis,Pijls_2018,C2a_SciBERT_SVM,42,0.3673,0.1801
RQ2_A_osteoarthritis,Pijls_2018,C2a_SciBERT_SVM,43,0.3673,0.1801
RQ2_A_osteoarthritis,Pijls_2018,C2a_SciBERT_SVM,44,0.3673,0.1801
RQ2_A_osteoarthritis,Pijls_2018,C2a_SciBERT_SVM,45,0.3673,0.1801
RQ2_A_osteoarthritis,Pijls_2018,C2a_SciBERT_SVM,46,0.3673,0.1801
RQ2_A_osteoarthritis,Cozim-Melges_2024,C2a_SciBERT_SVM,42,0.353,0.165
RQ2_A_osteoarthritis,Cozim-Melges_2024,C2a_SciBERT_SVM,43,0.353,0.165
RQ2_A_osteoarthritis,Cozim-Melges_2024,C2a_SciBERT_SVM,44,0.353,0.165
RQ2_A_osteoarthritis,Cozim-Melges_2024,C2a_SciBERT_SVM,45,0.353,0.165
RQ2_A_osteoarthritis,Cozim-Melges_2024,C2a_SciBERT_SVM,46,0.353,0.165
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C2a_SciBERT_SVM,42,0.509,0.007
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C2a_SciBERT_SVM,43,0.509,0.007
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C2a_SciBERT_SVM,44,0.509,0.007
RQ2_A_osteoarthritis,Pinos-Cisneros_2023,C2a_SciBERT_SVM,45,0.509,0.007
